software_version,other_software_Version,software_compatbile,software_compatbile_count,new_requirements,operate_cost,defect_count,slo_misses,other_sw_version_defect_count,other_sw_invest_cost,upgrade_cost
Java 6,Oracle Database 10g,Yes,1,1,2000,2,12,2,1250,675000
Java 6,Oracle Database 11g,Yes,1,1,1185,3,104,3,2465,765000
Java 7,Oracle Database 11g,Yes,1,1,2143,4,12,4,2500,819000
Java 7,Oracle Database 12c,Yes,1,1,2500,2,105,2,2701,453150
Java 8,Oracle Database 11g,No,0,1,1275,3,97,3,2850,480000
Java 8,Oracle Database 12c,Yes,1,1,2650,4,97,4,1710,665000
Java 8,Oracle Database 18c,Yes,1,1,3000,5,97,5,2798,635000
Java 8,Oracle Database 19c,Yes,1,1,2300,9,10,9,2500,750000
Java 9,Oracle Database 12c,No,0,2,1070,8,116,8,1710,700000
Java 9,Oracle Database 18c,No,0,3,1704,7,116,7,1120,816425
Java 9,Oracle Database 19c,No,0,1,3525,8,118,8,2651,420000
Java 10,Oracle Database 12c,No,0,2,2265,9,22,9,3555,530000
Java 10,Oracle Database 18c,No,0,2,1800,5,107,5,3788,500000
Java 10,Oracle Database 19c,No,0,2,741,6,11,6,2205,540625
Java 11,Oracle Database 12c,Yes,1,2,3732,5,17,5,2500,494000
Java 11,Oracle Database 18c,Yes,1,3,1784,6,13,6,1710,545000
Java 11,Oracle Database 19c,Yes,1,3,1250,5,14,5,2642,689399
Java 11,Oracle Database 21c,Yes,1,3,1250,7,14,7,4297,460000
Java 12,Oracle Database 19c,Yes,1,2,2465,8,67,8,3900,599000
Java 12,Oracle Database 21c,Yes,1,1,2500,2,82,2,2900,430000
Java 13,Oracle Database 19c,Yes,1,1,2701,3,107,3,2375,420000
Java 13,Oracle Database 21c,Yes,1,1,2850,4,77,4,3563,483000
Java 14,Oracle Database 19c,Yes,1,1,1710,2,62,2,1710,455000
Java 14,Oracle Database 21c,Yes,1,1,2798,3,67,3,2375,579000
Java 15,Oracle Database 19c,Yes,1,1,2500,4,57,4,4750,499000
Java 15,Oracle Database 21c,Yes,1,1,1710,5,67,5,1980,454000
Java 16,Oracle Database 19c,Yes,1,1,1120,9,62,9,2500,439000
Java 16,Oracle Database 21c,Yes,1,1,2651,8,57,8,2375,437000
Java 17,Oracle Database 19c,Yes,1,1,3555,7,82,7,2709,420000
Java 17,Oracle Database 21c,Yes,1,1,3788,8,107,8,2850,784000
Java 18,Oracle Database 19c,Yes,1,1,2205,9,57,9,932,417000
Java 18,Oracle Database 21c,Yes,1,1,2500,5,2,5,2000,515000
Java 19,Oracle Database 19c,Yes,1,1,1710,6,62,6,2658,430000
Java 19,Oracle Database 21c,Yes,1,1,2642,5,67,5,2500,420000
Java 21,Oracle Database 12c,No,0,1,4297,6,97,6,2642,460000
Java 21,Oracle Database 18c,No,0,1,3900,5,97,5,2300,419700
Java 21,Oracle Database 19c,Yes,1,1,2900,7,97,7,2300,450000
Java 21,Oracle Database 21c,Yes,1,1,2375,8,86,8,1800,485000
Java 21,Oracle Database 23c,Yes,1,1,3563,8,97,8,4750,416000
Python 2.7,Oracle 10g,Yes,1,1,1710,8,77,8,1920,449000
Python 2.7,Oracle 11g,Yes,1,1,2375,8,87,8,2500,499900
Python 2.7,Oracle 12c,Yes,1,1,4750,8,97,8,2500,485000
Python 2.7,Oracle 18c,Yes,1,1,1980,8,67,8,2500,445000
Python 2.7,Oracle 19c,Yes,1,1,2500,8,82,8,2424,457000
Python 3.4,Oracle 10g,No,0,2,2375,8,97,8,2375,435000
Python 3.4,Oracle 11g,Yes,1,2,2709,8,118,8,1900,585000
Python 3.4,Oracle 12c,Yes,1,2,2850,8,67,8,2477,588000
Python 3.4,Oracle 18c,Yes,1,2,932,8,10,8,2700,470000
Python 3.4,Oracle 19c,Yes,1,2,2000,8,67,8,1895,635000
Python 3.5,Oracle 10g,No,0,2,2658,8,87,8,2518,535000
Python 3.5,Oracle 11g,Yes,1,2,2500,8,97,8,1900,431379
Python 3.5,Oracle 12c,Yes,1,2,2642,8,67,8,1900,529000
Python 3.5,Oracle 18c,Yes,1,2,2300,8,87,8,4750,620000
Python 3.5,Oracle 19c,Yes,1,2,2300,8,87,8,1900,625000
Python 3.6,Oracle 10g,No,0,2,1800,8,67,8,2375,523000
Python 3.6,Oracle 11g,Yes,1,2,4750,8,47,8,1868,680000
Python 3.6,Oracle 12c,Yes,1,2,1920,8,47,8,2375,515000
Python 3.6,Oracle 18c,Yes,1,2,2500,8,62,8,2020,490000
Python 3.6,Oracle 19c,Yes,1,2,2500,8,9,8,2425,615000
Python 3.7,Oracle 10g,No,0,2,2500,8,9,8,2088,599000
Python 3.7,Oracle 11g,Yes,1,2,2424,8,10,8,2640,575000
Python 3.7,Oracle 12c,Yes,1,2,2375,8,107,8,1995,466000
Python 3.7,Oracle 18c,Yes,1,2,1900,8,67,8,1800,480000
Python 3.7,Oracle 19c,Yes,1,2,2477,8,62,8,2500,599000
Python 3.8,Oracle 10g,No,0,2,2700,8,57,8,2500,520000
Python 3.8,Oracle 11g,Yes,1,2,1895,8,57,8,2590,610000
Python 3.8,Oracle 12c,Yes,1,2,2518,8,13,8,1950,457000
Python 3.8,Oracle 18c,Yes,1,2,1900,8,13,8,1195,489853
Python 3.8,Oracle 19c,Yes,1,2,1900,8,13,8,3300,756822
Python 3.9,Oracle 10g,No,0,2,4750,8,116,8,4200,625000
Python 3.9,Oracle 11g,No,0,2,1900,8,67,8,2625,480000
Python 3.9,Oracle 12c,Yes,1,2,2375,8,13,8,2323,480000
Python 3.9,Oracle 18c,Yes,1,2,1868,8,57,8,1877,472500
Python 3.9,Oracle 19c,Yes,1,2,2375,8,13,8,2185,605000
Python 3.10,Oracle 10g,No,0,2,2020,8,92,8,2500,599000
Python 3.10,Oracle 11g,No,0,2,2425,8,57,8,2500,565000
Python 3.10,Oracle 12c,Yes,1,2,2088,8,20,8,2050,475000
Python 3.10,Oracle 18c,Yes,1,2,2640,8,53,8,1700,575000
Python 3.10,Oracle 19c,Yes,1,2,1995,8,52,8,1868,540000
Python 3.11,Oracle 10g,No,0,2,1800,8,60,8,1710,450000
Python 3.11,Oracle 11g,No,0,2,2500,8,2,8,1924,697501
Python 3.11,Oracle 12c,Yes,1,2,2500,8,2,8,2375,697501
Python 3.11,Oracle 18c,Yes,1,2,2590,8,19,8,3325,540000
Python 3.11,Oracle 19c,Yes,1,2,1950,8,21,8,3325,533667
Oracle 8i,.NET Framework 1.0,No,0,2,1195,8,56,8,2000,425000
Oracle 8i,.NET Framework 1.1,No,0,2,3300,8,92,8,3250,470000
Oracle 8i,.NET Framework 2.0,No,0,2,4200,8,92,8,2375,427000
Oracle 8i,.NET Framework 3.0,No,0,2,2625,8,66,8,1900,459000
Oracle 8i,.NET Framework 3.5,No,0,2,2323,8,52,8,3225,499000
Oracle 9i,.NET Framework 1.0,No,0,2,1877,8,62,8,2500,425000
Oracle 9i,.NET Framework 1.1,No,0,2,2185,8,62,8,2771,599000
Oracle 9i,.NET Framework 2.0,No,0,2,2500,8,77,8,3532,546000
Oracle 9i,.NET Framework 3.0,No,0,2,2500,8,92,8,3555,635000
Oracle 9i,.NET Framework 3.5,No,0,2,2050,8,10,8,3750,575000
Oracle 10g,.NET Framework 1.0,No,0,2,1700,8,52,8,2752,560000
Oracle 10g,.NET Framework 1.1,No,0,2,1868,8,62,8,1981,630000
Oracle 10g,.NET Framework 2.0,Yes,1,2,1710,8,62,8,2641,453000
Oracle 10g,.NET Framework 3.0,Yes,1,2,1924,8,67,8,2156,550000
Oracle 10g,.NET Framework 3.5,Yes,1,2,2375,8,67,8,1892,660000
Oracle 11g,.NET Framework 2.0,Yes,1,2,3325,8,2,8,2190,789000
Oracle 11g,.NET Framework 3.0,Yes,1,2,3325,8,2,8,2250,789143
Oracle 11g,.NET Framework 3.5,Yes,1,2,2000,8,58,8,1682,450000
Oracle 11g,.NET Framework 4.0,Yes,1,2,3250,8,13,8,1650,640000
Oracle 11g,.NET Framework 4.5,Yes,1,3,2375,8,118,8,2000,447000
Oracle 12c,.NET Framework 4.0,Yes,1,3,1900,8,67,8,1882,570000
Oracle 12c,.NET Framework 4.5,Yes,1,3,3225,8,42,8,2242,540000
Oracle 12c,.NET Framework 4.6,Yes,1,3,2500,8,107,8,709,720000
Oracle 12c,.NET Framework 4.7,Yes,1,3,2771,8,44,8,2440,605000
Oracle 12c,.NET Framework 4.8,Yes,1,3,3532,8,82,8,2894,605000
Oracle 18c,.NET Framework 4.5,Yes,1,3,3555,8,47,8,2500,620000
Oracle 18c,.NET Framework 4.6,Yes,1,3,3750,8,28,8,2500,530000
Oracle 18c,.NET Framework 4.7,Yes,1,3,2752,8,16,8,2117,647500
Oracle 18c,.NET Framework 4.8,Yes,1,1,1981,8,97,8,2200,425000
Oracle 18c,.NET 5.0,Yes,1,1,2641,8,87,8,2810,440000
Oracle 18c,.NET 6.0,Yes,1,1,2156,8,87,8,2500,420000
Oracle 19c,.NET Framework 4.5,Yes,1,1,1892,8,102,8,2500,540000
Oracle 19c,.NET Framework 4.6,Yes,1,1,2190,8,107,8,2835,490000
