23-01-1996,Java 1.0,
19-02-1997,Java 1.1,
08-12-1998,Java 1.2 (Java 2),
08-05-2008,Java 1.3,
06-02-2002,Java 1.4,
30-09-2004,Java 5 (1.5),
11-12-2006,Java 6,
28-07-2011,Java 7,
18-03-2014,Java 8,
21-09-2017,Java 9,`
20-03-2018,Java 10,
25-09-2018,Java 11 (LTS),
19-03-2019,Java 12,
17-09-2019,Java 13,
17-03-2020,Java 14,
15-09-2020,Java 15,
16-03-2021,Java 16,
14-09-2021,Java 17 (LTS),
22-03-2022,Java 18,
30-09-2022,Java 19,
21-03-2023,Java 20,
19-09-2023,Java 21,
01-06-1992,Oracle 7,
01-06-1997,Oracle 8,
01-07-1999,Oracle 8i,
01-06-2001,Oracle 9i,
01-01-2004,Oracle 10g,
01-09-2007,Oracle 11g Release 1 (11.1),
01-09-2009,Oracle 11g Release 2 (11.2),
01-07-2013,Oracle 12c Release 1 (12.1),
01-03-2017,Oracle 12c Release 2 (12.2),
01-02-2018,Oracle 18c,
01-01-2019,Oracle 19c,
01-12-2020,Oracle 21c,
26-01-1994,Python 1.0,
11-10-1994,Python 1.1,
10-04-1995,Python 1.2,
12-10-1995,Python 1.3,
25-10-1996,Python 1.4,
31-12-1997,Python 1.5,
05-09-2000,Python 1.6,
16-10-2000,Python 2.0,
17-04-2001,Python 2.1,
21-12-2001,Python 2.2,
29-07-2003,Python 2.3,
30-11-2004,Python 2.4,
19-09-2006,Python 2.5,
01-10-2008,Python 2.6,
03-07-2010,Python 2.7,
03-12-2008,Python 3.0,
27-06-2009,Python 3.1,
20-02-2011,Python 3.2,
29-09-2012,Python 3.3,
16-03-2014,Python 3.4,
13-09-2015,Python 3.5,
23-12-2016,Python 3.6,
27-06-2018,Python 3.7,
14-10-2019,Python 3.8,
05-10-2020,Python 3.9,
04-10-2021,Python 3.10,
24-10-2022,Python 3.11,
02-10-2023,Python 3.12,
13-02-2002,.NET Framework 1.0,
24-04-2003,.NET Framework 1.1,
07-11-2005,.NET Framework 2.0,
06-11-2006,.NET Framework 3.0,
19-11-2007,.NET Framework 3.5,
12-04-2010,.NET Framework 4.0,
15-08-2012,.NET Framework 4.5,
17-10-2013,.NET Framework 4.5.1,
05-05-2014,.NET Framework 4.5.2,
20-07-2015,.NET Framework 4.6,
30-11-2015,.NET Framework 4.6.1,
02-08-2016,.NET Framework 4.6.2,
02-05-2017,.NET Framework 4.7,
17-10-2017,.NET Framework 4.7.1,
30-04-2018,.NET Framework 4.7.2,
18-04-2019,.NET Framework 4.8,
